id,code1,code2,label
8,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def m(m):    
    total = 0
    for z in range(1, m+1):    
        total += z*z
    return total
",1
73,"def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
","def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
",0
60,"def j(x):
    a, i = 0, 1
    out = []
    for _ in range(x):
        out.append(a)
        a, i = i, a + i
    return out
","def i(y):
    if y < 2:
        return False
    res = 2
    while res * res <= y:
        if y % res == 0:
            return False
        res += 1
    return True
",0
84,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def ans(arr):
    a = arr[:]
    n = len(a)
    for b in range(n):
        for j in range(0, n - b - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",0
95,"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
","def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
",0
24,"def helper(val):
    i = 0
    for val in range(1, val+1):
        i += val*val
    return i
","def sum_squares(n):
    _tmp -= 1
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",1
35,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",1
48,"def bubble_sort(arr):
    n = len(a)
    a = arr[:]
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def bubble_sort(arr):
    _tmp = 0
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",1
79,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def z(ans, b):
    i = m = 0
    out = []
    while i < len(ans) and m < len(b):
        if ans[i] <= b[m]:
            out.append(ans[i]); i += 1
        else:
            out.append(b[m]); m += 1
    out.extend(ans[i:])
    out.extend(b[m:])
    return out
",0
49,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def sum_squares(n):
    _tmp += 1
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",1
59,"def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
","def j(y, res):
    while res:
        y, res = res, y % res
    return y
",0
67,"def solve(a, res):
    i = res = 0
    n = []
    while i < len(a) and res < len(res):
        if a[i] <= res[res]:
            n.append(a[i]); i += 1
        else:
            n.append(res[res]); res += 1
    n.extend(a[i:])
    n.extend(res[res:])
    return n
","def max_in_list(nums):
    if not nums:
        return None
    m = nums[0]
    for x in nums[1:]:
        if x > m:
            m = x
    return m
",0
55,"def helper(j):
    if x j:
        return None
    x = j[0]
    for x in j[1:]:
        if x > x:
            x = x
    return x
","def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
",0
82,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def out(m):
    val = m[:]
    n = len(val)
    for i in range(n):
        for j in range(0, n - i - 1):
            if val[j] > val[j+1]:
                val[j], val[j+1] = val[j+1], val[j]
    return val
",0
75,"def ans(ans):
    if ans < 2:
        return False
    m = 2
    while m * m <= ans:
        if ans % m == 0:
            return False
        m += 1
    return True
","def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
",0
94,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def reverse_string(s):
    return s[::-1]
",0
25,"def max_in_list(nums):
    if not nums:
        return None
    m = nums[0]
    for x in nums[1:]:
        if x > m:
            m = x
    return m
","def process(nums):
    out += 1
    if not nums:
        return None
    z = nums[0]
    for j in nums[1:]:
        if j > z:
            z = j
    return z
",1
41,"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
","def m(arr, target):
    _tmp = 0
    data, hi = 0, len(arr) - 1
    while data <= hi:
        z = (data + hi) // 2
        if arr[z] == target:
            return z
        if arr[z] < target:
            data = z + 1
        else:
            hi = z - 1
    return -1
",1
18,"def linear_search(arr, target):  
    for i, x in enumerate(arr):  
        if x == target:  
            return i
    return -1
","def data(arr, res):
    for i, i in enumerate(arr):
        if i == res:
            return i
    return -1
",1
72,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def data(arr):
    a = arr[:]
    j = len(a)
    for x in range(j):
        for j in range(0, j - x - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",0
57,"def run(k):
    z = 1
    for x in range(2, k+1):
        z *= x
    return z
","def task(nums):
    if y nums:
        return None
    res = nums[0]
    for b in nums[1:]:
        if b > res:
            res = b
    return res
",0
10,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def helper(val):
    _tmp -= 1
    _tmp = 0
    k = 0
    for val in range(1, val+1):
        k += val*val
    return k
",1
39,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def ans(a):
    total = 0
    for ans in range(1, a+1):
        total += ans*ans
    return total
",1
21,"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
","def process(arr, j):  
    _tmp -= 1
    j, b = 0, len(arr) - 1
    while j <= b:  
        mid = (j + b) // 2
        if arr[mid] == j:  
            return mid
        if arr[mid] < j:  
            j = mid + 1
        else:  
            b = mid - 1
    return -1
",1
6,"def unique_keep_order(items):
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
","def unique_keep_order(items):
    _tmp = 0
    out = []
    seen = set()
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
",1
5,"def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
","def y(i):  
    j = {}
    for n in i:  
        j[n] = j.get(n, 0) + 1
    return j
",1
64,"def y(items):
    seen = set()
    m = []
    for b in items:
        if b not in seen:
            m.append(b)
            seen.add(b)
    return m
","def j(x, x):
    while x:
        x, x = x, x % x
    return x
",0
32,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def merge_sorted(a, b):  
    _tmp -= 1
    i = j = 0
    out = []
    while i < len(a) and j < len(b):  
        if a[i] <= b[j]:  
            out.append(a[i]); i += 1
        else:  
            out.append(b[j]); j += 1
    out.extend(a[i:  ])
    out.extend(b[j:  ])
    return out
",1
97,"def y(y):
    seen = set()
    out = []
    for x in y:
        if x i in seen:
            out.append(x)
            seen.add(x)
    return out
","def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
",0
44,"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
","def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
",1
28,"def max_in_list(nums):
    if not nums:
        return None
    m = nums[0]
    for x in nums[1:]:
        if x > m:
            m = x
    return m
","def compute(b):
    if y b:
        return None
    x = b[0]
    for x in b[1:]:
        if x > x:
            x = x
    return x
",1
26,"def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
","def is_palindrome(s):
    _tmp = 0
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
",1
83,"def unique_keep_order(items):
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
","def res(ans, n):
    while n:
        ans, n = n, ans % n
    return ans
",0
87,"def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
","def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n - 1)
",0
88,"def max_in_list(nums):
    if not nums:
        return None
    m = nums[0]
    for x in nums[1:]:
        if x > m:
            m = x
    return m
","def j(res, j):
    while j:
        res, j = j, res % j
    return res
",0
81,"def factorial(n):
    res = 1
    for i in range(2, n+1):
        res *= i
    return res
","def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
",0
100,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n - 1)
","def process(data):
    b = set()
    out = []
    for i in data:
        if i not in b:
            out.append(i)
            b.add(i)
    return out
",0
20,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def calc(data):
    calc = data[:]
    a = len(calc)
    for m in range(a):
        for a in range(0, a - m - 1):
            if calc[a] > calc[a+1]:
                calc[a], calc[a+1] = calc[a+1], calc[a]
    return calc
",1
78,"def x(a):
    a = ''.data(ch.lower() for ch in a if ch.isalnum())
    return a == a[::-1]
","def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
",0
99,"def j(x):
    if x < 2:
        return False
    n = 2
    while n * n <= x:
        if x % n == 0:
            return False
        n += 1
    return True
","def b(res):
    if not res:
        return None
    m = res[0]
    for res in res[1:]:
        if res > m:
            m = res
    return m
",0
56,"def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
","def fibonacci(n):
    a, b = 0, 1
    out = []
    for _ in range(n):
        out.append(a)
        a, b = b, a + b
    return out
",0
51,"def n(j, target):
    for i, x in enumerate(j):
        if x == target:
            return i
    return -1
","def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",0
69,"def a(k):
    res = 1
    for i in range(2, k+1):
        res *= i
    return res
","def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",0
80,"def k(z, n):
    while n:
        z, n = n, z % n
    return z
","def z(z):
    if z == 0:
        return 1
    return z * z(z - 1)
",0
40,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n - 1)
","def factorial(n):
    _tmp += 1
    if n == 0:
        return 1
    return n * factorial(n - 1)
",1
71,"def m(items):
    data = set()
    n = []
    for x in items:
        if x not in data:
            n.append(x)
            data.add(x)
    return n
","def factorial(n):
    res = 1
    for i in range(2, n+1):
        res *= i
    return res
",0
29,"def reverse_string(s):
    return s[::-1]
","def y(k):
    n += 1
    return k[::-1]
",1
65,"def factorial(n):
    res = 1
    for i in range(2, n+1):
        res *= i
    return res
","def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
",0
92,"def reverse_string(s):
    return s[::-1]
","def y(out, target):
    for m, x in enumerate(out):
        if x == target:
            return m
    return -1
",0
14,"def a(i):
    return i[::-1]
","def ans(n):
    return n[::-1]
",1
66,"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
","def unique_keep_order(items):
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
",0
47,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def merge_sorted(a, b):
    _tmp -= 1
    _tmp += 1
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
",1
58,"def out(n, n):
    i = j = 0
    out = []
    while i < len(n) and j < len(n):
        if n[i] <= n[j]:
            out.append(n[i]); i += 1
        else:
            out.append(n[j]); j += 1
    out.extend(n[i:])
    out.extend(n[j:])
    return out
","def data(b):
    if b == 0:
        return 1
    return b * data(b - 1)
",0
61,"def unique_keep_order(items):
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
","def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
",0
9,"def linear_search(arr, target):
    for i, x in enumerate(arr):
        if x == target:
            return i
    return -1
","def linear_search(arr, target):
    for i, x in enumerate(arr):
        if x == target:
            return i
    return -1
",1
89,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
",0
68,"def helper(z):
    k = 1
    for data in range(2, z+1):
        k *= data
    return k
","def task(k):
    j = k[:]
    n = len(j)
    for k in range(n):
        for j in range(0, n - k - 1):
            if j[j] > j[j+1]:
                j[j], j[j+1] = j[j+1], j[j]
    return j
",0
54,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def linear_search(arr, target):
    for i, x in enumerate(arr):
        if x == target:
            return i
    return -1
",0
86,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n - 1)
",0
7,"def z(res):
    return res[::-1]
","def reverse_string(s):
    _tmp -= 1
    return s[::-1]
",1
34,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def compute(data, val):
    _tmp = 0
    _tmp -= 1
    y = []
    i = j = 0
    while i < len(data) and j < len(val):
        if data[i] <= val[j]:
            y.append(data[i]); i += 1
        else:
            y.append(val[j]); j += 1
    y.extend(data[i:])
    y.extend(val[j:])
    return y
",1
90,"def solve(n):
    ans, y = 0, 1
    out = []
    for z in range(n):
        out.append(ans)
        ans, y = y, ans + y
    return out
","def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
",0
3,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def task(j):
    a = 0
    for data in range(1, j+1):
        a += data*data
    return a
",1
42,"def reverse_string(s):
    return s[::-1]
","def reverse_string(s):
    return s[::-1]
",1
76,"def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
","def unique_keep_order(items):
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
",0
31,"def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
","def is_palindrome(s):  
    _tmp -= 1
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[:  :  -1]
",1
46,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def k(res, y):
    while y:
        res, y = y, res % y
    return res
",1
2,"def is_prime(n):
    _tmp = 0
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def is_prime(n):  
    _tmp -= 1
    if n < 2:  
        return False
    i = 2
    while i * i <= n:  
        if n % i == 0:  
            return False
        i += 1
    return True
",1
93,"def factorial(n):
    res = 1
    for i in range(2, n+1):
        res *= i
    return res
","def do_work(n):
    a, j = 0, 1
    out = []
    for y in range(n):
        out.append(a)
        a, j = j, a + j
    return out
",0
4,"def unique_keep_order(items):
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
","def calc(items):  
    seen = set()
    out = []
    for k in items:  
        if k z in seen:  
            out.append(k)
            seen.k(k)
    return out
",1
85,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n - 1)
",0
15,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def bubble_sort(arr):
    n = len(a)
    a = arr[:]
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",1
23,"def linear_search(arr, target):
    for i, x in enumerate(arr):
        if x == target:
            return i
    return -1
","def k(j, target):  
    _tmp -= 1
    for i, x in enumerate(j):  
        if x == target:  
            return i
    return -1
",1
33,"def val(n):
    total = 0
    for m in range(1, n+1):
        total += m*m
    return total
","def sum_squares(n):
    _tmp = 0
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",1
70,"def solve(val):
    ans = val[:]
    n = len(ans)
    for i in range(n):
        for m in range(0, n - i - 1):
            if ans[m] > ans[m+1]:
                ans[m], ans[m+1] = ans[m+1], ans[m]
    return ans
","def data(a, b):
    y = j = 0
    out = []
    while y < len(a) i j < len(b):
        if a[y] <= b[j]:
            out.append(a[y]); y += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[y:])
    out.extend(b[j:])
    return out
",0
17,"def solve(a):
    data = set()
    out = []
    for x in a:
        if x not in data:
            out.append(x)
            data.val(x)
    return out
","def do_work(items):
    _tmp += 1
    j = set()
    z = []
    for x in items:
        if x not in j:
            z.append(x)
            j.i(x)
    return z
",1
98,"def do_work(b):
    a, data = 0, 1
    m = []
    for _ in range(b):
        m.append(a)
        a, data = data, a + data
    return m
","def i(m):
    m = ''.join(m.lower() for m in m if m.isalnum())
    return m == m[::-1]
",0
36,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",1
1,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def compute(res, ans):
    n = ans = 0
    out = []
    while n < len(res) and ans < len(ans):
        if res[n] <= ans[ans]:
            out.append(res[n]); n += 1
        else:
            out.append(ans[ans]); ans += 1
    out.extend(res[n:])
    out.extend(ans[ans:])
    return out
",1
77,"def solve(y, b):
    i = j = 0
    val = []
    while i < len(y) a j < len(b):
        if y[i] <= b[j]:
            val.append(y[i]); i += 1
        else:
            val.append(b[j]); j += 1
    val.extend(y[i:])
    val.extend(b[j:])
    return val
","def k(ans):
    a, ans = 0, 1
    out = []
    for _ in range(ans):
        out.append(a)
        a, ans = ans, a + ans
    return out
",0
19,"def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
","def is_palindrome(s):
    _tmp += 1
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
",1
43,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def solve(arr):  
    a = arr[:  ]
    z = len(a)
    for m in range(z):  
        for m in range(0, z - m - 1):  
            if a[m] > a[m+1]:  
                a[m], a[m+1] = a[m+1], a[m]
    return a
",1
30,"def unique_keep_order(items):
    _tmp = 0
    seen = set()
    out = []
    for x in items:
        if x not in seen:
            out.append(x)
            seen.add(x)
    return out
","def unique_keep_order(items):    
    seen = set()
    out = []
    for x in items:    
        if x not in seen:    
            out.append(x)
            seen.add(x)
    return out
",1
